problem,algorithm_a,algorithm_b,seed,mean_a,mean_b,lower_mean,p_adj,sig,significant_seeds
DTLZ2_3,Just Sizes,PPO,42,0.0387,0.0386,PPO,1.0000,no,1/3
DTLZ2_3,Just Sizes,PPO,123,0.0382,0.0382,Just Sizes,1.0000,no,1/3
DTLZ2_3,Just Sizes,PPO,2022,0.0393,0.0384,PPO,0.0011,yes,1/3
DTLZ2_3,SPACE,PPO,42,0.0385,0.0386,SPACE,0.7861,no,1/3
DTLZ2_3,SPACE,PPO,123,0.0384,0.0382,PPO,0.7861,no,1/3
DTLZ2_3,SPACE,PPO,2022,0.0392,0.0384,PPO,0.0034,yes,1/3
DTLZ4_3,Just Sizes,PPO,42,0.0632,0.0774,Just Sizes,0.6857,no,0/3
DTLZ4_3,Just Sizes,PPO,123,0.0752,0.0700,PPO,0.6984,no,0/3
DTLZ4_3,Just Sizes,PPO,2022,0.0894,0.0753,PPO,0.6984,no,0/3
DTLZ4_3,SPACE,PPO,42,0.0819,0.0774,PPO,0.5561,no,0/3
DTLZ4_3,SPACE,PPO,123,0.0822,0.0700,PPO,0.1607,no,0/3
DTLZ4_3,SPACE,PPO,2022,0.0611,0.0753,SPACE,0.1347,no,0/3
WFG4_3,Just Sizes,PPO,42,0.0523,0.0523,PPO,0.9677,no,2/3
WFG4_3,Just Sizes,PPO,123,0.0525,0.0518,PPO,0.0090,yes,2/3
WFG4_3,Just Sizes,PPO,2022,0.0518,0.0525,Just Sizes,0.0186,yes,2/3
WFG4_3,SPACE,PPO,42,0.0521,0.0523,SPACE,0.7151,no,1/3
WFG4_3,SPACE,PPO,123,0.0522,0.0518,PPO,0.0525,no,1/3
WFG4_3,SPACE,PPO,2022,0.0534,0.0525,PPO,0.0083,yes,1/3
WFG5_3,Just Sizes,PPO,42,0.0477,0.0477,PPO,1.0000,no,1/3
WFG5_3,Just Sizes,PPO,123,0.0478,0.0476,PPO,1.0000,no,1/3
WFG5_3,Just Sizes,PPO,2022,0.0476,0.0484,Just Sizes,0.0034,yes,1/3
WFG5_3,SPACE,PPO,42,0.0476,0.0477,SPACE,1.0000,no,0/3
WFG5_3,SPACE,PPO,123,0.0474,0.0476,SPACE,1.0000,no,0/3
WFG5_3,SPACE,PPO,2022,0.0483,0.0484,SPACE,1.0000,no,0/3
WFG6_3,Just Sizes,PPO,42,0.0440,0.0469,Just Sizes,0.7922,no,1/3
WFG6_3,Just Sizes,PPO,123,0.0482,0.0525,Just Sizes,0.4413,no,1/3
WFG6_3,Just Sizes,PPO,2022,0.0483,0.0488,Just Sizes,0.0161,yes,1/3
WFG6_3,SPACE,PPO,42,0.0516,0.0469,PPO,0.8090,no,0/3
WFG6_3,SPACE,PPO,123,0.0587,0.0525,PPO,0.8090,no,0/3
WFG6_3,SPACE,PPO,2022,0.0472,0.0488,SPACE,0.1418,no,0/3
WFG7_3,Just Sizes,PPO,42,0.0408,0.0407,PPO,1.0000,no,1/3
WFG7_3,Just Sizes,PPO,123,0.0405,0.0405,Just Sizes,1.0000,no,1/3
WFG7_3,Just Sizes,PPO,2022,0.0405,0.0415,Just Sizes,0.0000,yes,1/3
WFG7_3,SPACE,PPO,42,0.0405,0.0407,SPACE,0.4926,no,0/3
WFG7_3,SPACE,PPO,123,0.0408,0.0405,PPO,0.4926,no,0/3
WFG7_3,SPACE,PPO,2022,0.0413,0.0415,SPACE,0.4926,no,0/3
WFG8_3,Just Sizes,PPO,42,0.0793,0.0783,PPO,0.0945,no,1/3
WFG8_3,Just Sizes,PPO,123,0.0792,0.0791,PPO,0.8394,no,1/3
WFG8_3,Just Sizes,PPO,2022,0.0792,0.0811,Just Sizes,0.0017,yes,1/3
WFG8_3,SPACE,PPO,42,0.0776,0.0783,SPACE,0.1347,no,2/3
WFG8_3,SPACE,PPO,123,0.0775,0.0791,SPACE,0.0026,yes,2/3
WFG8_3,SPACE,PPO,2022,0.0799,0.0811,SPACE,0.0032,yes,2/3
WFG9_3,Just Sizes,PPO,42,0.0417,0.0414,PPO,0.1333,no,1/3
WFG9_3,Just Sizes,PPO,123,0.0417,0.0418,Just Sizes,0.5291,no,1/3
WFG9_3,Just Sizes,PPO,2022,0.0417,0.0432,Just Sizes,0.0000,yes,1/3
WFG9_3,SPACE,PPO,42,0.0417,0.0414,PPO,0.1271,no,1/3
WFG9_3,SPACE,PPO,123,0.0473,0.0418,PPO,0.9032,no,1/3
WFG9_3,SPACE,PPO,2022,0.0442,0.0432,PPO,0.0017,yes,1/3
